
2024/08/20 (21:00:23) | ===> btop++ v.1.3.2
2024/08/20 (21:00:23) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/20 (21:00:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/20 (21:00:23) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/20 (21:00:23) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/20 (21:00:23) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/20 (21:05:31) | ===> btop++ v.1.3.2
2024/08/20 (21:05:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/20 (21:05:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/20 (21:05:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/20 (21:05:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/20 (21:05:31) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/21 (21:21:46) | ===> btop++ v.1.3.2
2024/08/21 (21:21:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/21 (21:21:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/21 (21:21:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/21 (21:21:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/21 (21:21:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (08:20:44) | ===> btop++ v.1.3.2
2024/08/22 (08:20:44) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (08:20:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (08:20:44) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (08:20:44) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (08:20:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (18:02:40) | ===> btop++ v.1.3.2
2024/08/22 (18:02:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (18:02:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (18:02:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (18:02:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (18:02:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (19:25:58) | ===> btop++ v.1.3.2
2024/08/22 (19:25:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (19:25:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (19:25:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (19:25:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (19:25:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (19:27:36) | ===> btop++ v.1.3.2
2024/08/22 (19:27:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (19:27:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (19:27:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (19:27:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (19:27:36) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/08/22 (19:28:56) | INFO: Logger set to INFO
2024/08/22 (19:28:57) | INFO: Logger set to DEBUG
2024/08/22 (19:28:57) | INFO: Logger set to INFO

2024/08/22 (19:30:13) | ===> btop++ v.1.3.2
2024/08/22 (19:30:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (19:30:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (19:30:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (19:30:13) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (19:30:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (19:30:32) | ===> btop++ v.1.3.2
2024/08/22 (19:30:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (19:30:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (19:30:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (19:30:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (19:30:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (20:19:40) | ===> btop++ v.1.3.2
2024/08/22 (20:19:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (20:19:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (20:19:40) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (20:19:40) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (20:19:40) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (20:23:09) | ===> btop++ v.1.3.2
2024/08/22 (20:23:09) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (20:23:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (20:23:09) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (20:23:09) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (20:23:09) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (22:27:55) | ===> btop++ v.1.3.2
2024/08/22 (22:27:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (22:27:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (22:27:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (22:27:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (22:27:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (22:29:58) | ===> btop++ v.1.3.2
2024/08/22 (22:29:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (22:29:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (22:29:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (22:29:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (22:29:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (22:42:04) | ===> btop++ v.1.3.2
2024/08/22 (22:42:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (22:42:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (22:42:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (22:42:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (22:42:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/22 (22:52:19) | ===> btop++ v.1.3.2
2024/08/22 (22:52:19) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/22 (22:52:19) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/22 (22:52:19) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/22 (22:52:19) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/22 (22:52:19) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (06:34:49) | ===> btop++ v.1.3.2
2024/08/23 (06:34:49) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (06:34:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (06:34:49) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (06:34:49) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (06:34:49) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (06:41:46) | ===> btop++ v.1.3.2
2024/08/23 (06:41:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (06:41:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (06:41:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (06:41:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (06:41:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/23 (22:23:45) | ===> btop++ v.1.3.2
2024/08/23 (22:23:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/23 (22:23:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/23 (22:23:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/23 (22:23:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/23 (22:23:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/24 (00:02:26) | ===> btop++ v.1.3.2
2024/08/24 (00:02:26) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/24 (00:02:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (00:02:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/24 (00:02:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/24 (00:02:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/08/24 (16:50:51) | ===> btop++ v.1.3.2
2024/08/24 (16:50:51) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/08/24 (16:50:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (16:50:51) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/08/24 (16:50:51) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/08/24 (16:50:51) | WARNING: ROCm SMI: Failed to get PCIe throughput
